dataset,point_index,x,y,yerr,x_label,y_label,notes
250 g/m2 paper,3,0.66,0.6451754845606281,0.0023362501022897494,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
250 g/m2 paper,4,0.88,0.6467171861167719,0.0016107895194780561,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
250 g/m2 paper,5,1.1,0.6496656457592129,0.0009546848949534968,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
250 g/m2 paper,6,1.32,0.6577700841231867,0.0005166036571434243,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
250 g/m2 paper,7,1.76,0.6701067863683752,0.0006008544663638643,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
250 g/m2 paper,8,2.2,0.6824546362591126,0.0010559211631283156,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
250 g/m2 paper,9,2.64,0.6898351209092011,0.001023974940902144,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
250 g/m2 paper,10,3.52,0.7010671697270738,0.000535251767411251,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
250 g/m2 paper,11,4.4,0.7024207215780809,0.0010608423406475683,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
250 g/m2 paper,12,5.5,0.685687297718875,0.0071346426358520785,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
250 g/m2 paper,13,7.26,0.7062524707346987,0.0011618168763020994,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
250 g/m2 paper,14,8.8,0.6988149526331546,0.002040697177695499,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
250 g/m2 paper,15,11.0,0.6829828463741222,0.0011440565703682145,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
250 g/m2 paper,16,13.2,0.654792102525722,0.0007282810540688527,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
250 g/m2 paper,17,17.6,0.5894059549966807,0.0008344020186767535,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
250 g/m2 paper,18,22.0,0.5041005067402402,0.0015278922919191916,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
250 g/m2 paper,19,27.5,0.38201408192568753,0.0022375429667968686,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
250 g/m2 paper,20,33.0,0.3285559991192626,0.003194303085570006,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
250 g/m2 paper,21,44.0,0.28996480059596996,0.0005497512644750781,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
250 g/m2 paper,22,55.0,0.29047278033728097,0.0018593362261902734,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
250 g/m2 paper,23,66.0,0.2804464419186015,0.0028668551859852617,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
250 g/m2 paper,24,77.0,0.2752290707717229,0.004082783785224785,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
250 g/m2 paper,25,88.0,0.3204164400837115,0.002099171825717195,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
250 g/m2 paper,26,99.0,0.31801124934651914,0.002404016022926767,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
250 g/m2 paper,27,110.0,0.32600394327895743,0.005842529808343097,Estimated paper thickness [mm],Coefficient of restitution,Thickness estimated as number of layers times single-sheet paper thickness.
